nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00076] Loss: 1.933 | Acc: 27.419% | time: 25.22s 
[epoch:001, iter:00077] Loss: 1.929 | Acc: 27.570% | time: 25.53s 
[epoch:001, iter:00078] Loss: 1.927 | Acc: 27.698% | time: 25.86s 
[epoch:001, iter:00079] Loss: 1.925 | Acc: 27.802% | time: 26.17s 
[epoch:001, iter:00080] Loss: 1.923 | Acc: 27.865% | time: 26.49s 
[epoch:001, iter:00081] Loss: 1.920 | Acc: 27.984% | time: 26.80s 
[epoch:001, iter:00082] Loss: 1.918 | Acc: 28.068% | time: 27.12s 
[epoch:001, iter:00083] Loss: 1.914 | Acc: 28.232% | time: 27.43s 
[epoch:001, iter:00084] Loss: 1.911 | Acc: 28.330% | time: 27.75s 
[epoch:001, iter:00085] Loss: 1.909 | Acc: 28.407% | time: 28.06s 
[epoch:001, iter:00086] Loss: 1.907 | Acc: 28.464% | time: 28.38s 
[epoch:001, iter:00087] Loss: 1.904 | Acc: 28.586% | time: 28.69s 
[epoch:001, iter:00088] Loss: 1.902 | Acc: 28.646% | time: 29.01s 
[epoch:001, iter:00089] Loss: 1.898 | Acc: 28.827% | time: 29.32s 
[epoch:001, iter:00090] Loss: 1.897 | Acc: 28.912% | time: 29.64s 
[epoch:001, iter:00091] Loss: 1.893 | Acc: 29.081% | time: 29.95s 
[epoch:001, iter:00092] Loss: 1.890 | Acc: 29.195% | time: 30.27s 
[epoch:001, iter:00093] Loss: 1.888 | Acc: 29.284% | time: 30.59s 
[epoch:001, iter:00094] Loss: 1.886 | Acc: 29.383% | time: 30.90s 
[epoch:001, iter:00095] Loss: 1.883 | Acc: 29.518% | time: 31.22s 
[epoch:001, iter:00096] Loss: 1.881 | Acc: 29.574% | time: 31.54s 
[epoch:001, iter:00097] Loss: 1.879 | Acc: 29.661% | time: 31.85s 
[epoch:001, iter:00098] Loss: 1.878 | Acc: 29.693% | time: 32.17s 
[epoch:001, iter:00099] Loss: 1.876 | Acc: 29.735% | time: 32.48s 
[epoch:001, iter:00100] Loss: 1.873 | Acc: 29.875% | time: 32.80s 
[epoch:001, iter:00101] Loss: 1.871 | Acc: 30.018% | time: 33.11s 
[epoch:001, iter:00102] Loss: 1.868 | Acc: 30.096% | time: 33.43s 
[epoch:001, iter:00103] Loss: 1.868 | Acc: 30.138% | time: 33.74s 
[epoch:001, iter:00104] Loss: 1.866 | Acc: 30.243% | time: 34.06s 
[epoch:001, iter:00105] Loss: 1.863 | Acc: 30.303% | time: 34.37s 
[epoch:001, iter:00106] Loss: 1.861 | Acc: 30.375% | time: 34.69s 
[epoch:001, iter:00107] Loss: 1.860 | Acc: 30.398% | time: 35.01s 
[epoch:001, iter:00108] Loss: 1.857 | Acc: 30.493% | time: 35.32s 
[epoch:001, iter:00109] Loss: 1.855 | Acc: 30.571% | time: 35.64s 
[epoch:001, iter:00110] Loss: 1.854 | Acc: 30.620% | time: 35.96s 
[epoch:001, iter:00111] Loss: 1.851 | Acc: 30.724% | time: 36.27s 
[epoch:001, iter:00112] Loss: 1.849 | Acc: 30.813% | time: 36.59s 
[epoch:001, iter:00113] Loss: 1.847 | Acc: 30.918% | time: 36.91s 
[epoch:001, iter:00114] Loss: 1.845 | Acc: 30.980% | time: 37.22s 
[epoch:001, iter:00115] Loss: 1.843 | Acc: 31.051% | time: 37.54s 
[epoch:001, iter:00116] Loss: 1.841 | Acc: 31.174% | time: 37.85s 
[epoch:001, iter:00117] Loss: 1.839 | Acc: 31.192% | time: 38.17s 
